====================================================================================================
KIỂM TRA TRÙNG LẶP TOÀN BỘ DÒNG

Đã loại bỏ cột ID.

Phát hiện 182 dòng trùng lặp hoàn toàn (full-row duplicates).
Số nhóm trùng lặp: 176

TẤT CẢ CÁC DÒNG TRÙNG LẶP:
 Year_Birth  Education Marital_Status  Income  Kidhome  Teenhome Dt_Customer  Recency  MntWines  MntFruits  MntMeatProducts  MntFishProducts  MntSweetProducts  MntGoldProds  NumDealsPurchases  NumWebPurchases  NumCatalogPurchases  NumStorePurchases  NumWebVisitsMonth  AcceptedCmp3  AcceptedCmp4  AcceptedCmp5  AcceptedCmp1  AcceptedCmp2  Complain  Z_CostContact  Z_Revenue  Response
       1943        PhD       Divorced 48948.0        0         0  01-02-2013       53       437          8              206              160                49            42                  2                7                   10                  5                  6             1             0             0             0             0         0              3         11         1
       1943        PhD       Divorced 48948.0        0         0  01-02-2013       53       437          8              206              160                49            42                  2                7                   10                  5                  6             1             0             0             0             0         0              3         11         1
       1946 Graduation       Together 37760.0        0         0  31-08-2012       20        84          5               38              150                12            28                  2                4                    1                  6                  7             0             0             0             0             0         0              3         11         0
       1946 Graduation       Together 37760.0        0         0  31-08-2012       20        84          5               38              150                12            28                  2                4                    1                  6                  7             0             0             0             0             0         0              3         11         0
       1946     Master        Married 66835.0        0         0  28-09-2013       21       620         26              195               34                17           141                  1                6                    4                 13                  2             0             0             0             0             0         0              3         11         0
       1946     Master        Married 66835.0        0         0  28-09-2013       21       620         26              195               34                17           141                  1                6                    4                 13                  2             0             0             0             0             0         0              3         11         0
       1946        PhD        Married 51012.0        0         0  18-04-2013       86       102          9               63                2                 9            24                  1                4                    1                  4                  6             0             0             0             0             0         0              3         11         0
       1946        PhD        Married 51012.0        0         0  18-04-2013       86       102          9               63                2                 9            24                  1                4                    1                  4                  6             0             0             0             0             0         0              3         11         0
       1946        PhD         Single 82800.0        0         0  24-11-2012       23      1006         22              115               59                68            45                  1                7                    6                 12                  3             0             0             1             1             0         0              3         11         1
       1946        PhD         Single 82800.0        0         0  24-11-2012       23      1006         22              115               59                68            45                  1                7                    6                 12                  3             0             0             1             1             0         0              3         11         1
       1946        PhD       Together 64014.0        2         1  10-06-2014       56       406          0               30                0                 0             8                  7                8                    2                  5                  7             0             0             0             1             0         0              3         11         0
       1946        PhD       Together 64014.0        2         1  10-06-2014       56       406          0               30                0                 0             8                  7                8                    2                  5                  7             0             0             0             1             0         0              3         11         0
       1947        PhD       Together 73059.0        0         1  31-08-2013       36       410        112              420                0                82            71                  1                9                    3                 13                  4             0             0             0             0             0         0              3         11         0
       1947        PhD       Together 73059.0        0         1  31-08-2013       36       410        112              420                0                82            71                  1                9                    3                 13                  4             0             0             0             0             0         0              3         11         0
       1948        PhD       Together 46681.0        0         2  08-10-2013       52       269         15               69               15                19            38                  2                4                    6                  4                  5             0             0             0             0             0         0              3         11         0
       1948        PhD       Together 46681.0        0         2  08-10-2013       52       269         15               69               15                19            38                  2                4                    6                  4                  5             0             0             0             0             0         0              3         11         0
       1948        PhD          Widow 82032.0        0         0  05-04-2014       54       332        194              377              149               125            57                  0                4                    6                  7                  1             0             0             0             0             0         0              3         11         0
       1948        PhD          Widow 82032.0        0         0  05-04-2014       54       332        194              377              149               125            57                  0                4                    6                  7                  1             0             0             0             0             0         0              3         11         0
       1949     Master       Together 49912.0        0         1  07-09-2012        5       520          8              223               32                49            42                  4               10                    5                  7                  8             1             0             0             0             0         0              3         11         1
       1949     Master       Together 49912.0        0         1  07-09-2012        5       520          8              223               32                49            42                  4               10                    5                  7                  8             1             0             0             0             0         0              3         11         1
       1949        PhD       Together 67911.0        0         1  22-05-2014       63       529          0              356               63                28             0                  3                6                    7                 11                  3             0             0             0             0             0         0              3         11         0
       1949        PhD       Together 67911.0        0         1  22-05-2014       63       529          0              356               63                28             0                  3                6                    7                 11                  3             0             0             0             0             0         0              3         11         0
       1950 Graduation       Together 34026.0        1         1  05-08-2013       11        18          6               15               12                 8            17                  3                2                    1                  3                  5             0             0             0             0             0         0              3         11         0
       1950 Graduation       Together 34026.0        1         1  05-08-2013       11        18          6               15               12                 8            17                  3                2                    1                  3                  5             0             0             0             0             0         0              3         11         0
       1950        PhD       Together 59292.0        0         1  13-06-2013       71       378         14               68               19                14            14                  2                3                    5                  8                  3             0             0             0             0             0         0              3         11         0
       1950        PhD       Together 59292.0        0         1  13-06-2013       71       378         14               68               19                14            14                  2                3                    5                  8                  3             0             0             0             0             0         0              3         11         0
       1950        PhD          Widow 56551.0        1         1  07-05-2014       48        67          4               32               17                 2            16                  3                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1950        PhD          Widow 56551.0        1         1  07-05-2014       48        67          4               32               17                 2            16                  3                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1951   2n Cycle        Married 78497.0        0         0  01-12-2013       44       207         26              447               75                 0           223                  1                5                    7                 12                  2             0             0             0             1             0         0              3         11         0
       1951   2n Cycle        Married 78497.0        0         0  01-12-2013       44       207         26              447               75                 0           223                  1                5                    7                 12                  2             0             0             0             1             0         0              3         11         0
       1951 Graduation       Together 40689.0        0         1  18-03-2013       69       270          3               27               39                 6            99                  7                7                    1                  5                  8             0             0             0             0             0         0              3         11         0
       1951 Graduation       Together 40689.0        0         1  18-03-2013       69       270          3               27               39                 6            99                  7                7                    1                  5                  8             0             0             0             0             0         0              3         11         0
       1951     Master       Together 47352.0        0         1  11-04-2013       70       172         12              112                8                 0            15                  4                6                    1                  5                  7             0             0             0             0             0         0              3         11         0
       1951     Master       Together 47352.0        0         1  11-04-2013       70       172         12              112                8                 0            15                  4                6                    1                  5                  7             0             0             0             0             0         0              3         11         0
       1952 Graduation         Single 75127.0        0         0  22-05-2014       92       203         35              305               46                17           227                  1                2                   11                  5                  1             0             0             0             0             0         0              3         11         0
       1952 Graduation         Single 75127.0        0         0  22-05-2014       92       203         35              305               46                17           227                  1                2                   11                  5                  1             0             0             0             0             0         0              3         11         0
       1952 Graduation       Together 83844.0        0         0  12-05-2013       57       901         31              345               75                31           191                  1                4                    4                 11                  1             0             0             1             0             0         0              3         11         0
       1952 Graduation       Together 83844.0        0         0  12-05-2013       57       901         31              345               75                31           191                  1                4                    4                 11                  1             0             0             1             0             0         0              3         11         0
       1952 Graduation       Together 83844.0        0         0  12-05-2013       57       901         31              345               75                31           191                  1                4                    4                 11                  1             0             0             1             0             0         0              3         11         0
       1953 Graduation       Together 94384.0        0         0  04-03-2013       62      1111         24              790              160                45           172                  0                5                    8                  5                  2             0             1             1             1             0         0              3         11         1
       1953 Graduation       Together 94384.0        0         0  04-03-2013       62      1111         24              790              160                45           172                  0                5                    8                  5                  2             0             1             1             1             0         0              3         11         1
       1953     Master       Together 56129.0        0         1  20-06-2013       65       320         48              133               39                72            48                  4                6                    2                 10                  4             0             0             0             0             0         0              3         11         0
       1953     Master       Together 56129.0        0         1  20-06-2013       65       320         48              133               39                72            48                  4                6                    2                 10                  4             0             0             0             0             0         0              3         11         0
       1954 Graduation       Divorced 72071.0        0         1  14-02-2013        4       531         69              300              150               138           150                  3                5                    4                  8                  2             0             0             0             0             0         0              3         11         0
       1954 Graduation       Divorced 72071.0        0         1  14-02-2013        4       531         69              300              150               138           150                  3                5                    4                  8                  2             0             0             0             0             0         0              3         11         0
       1954 Graduation        Married 38998.0        1         1  03-11-2012       92        34          1               14                0                 0             5                  3                2                    0                  3                  8             0             0             0             0             0         1              3         11         0
       1954 Graduation        Married 38998.0        1         1  03-11-2012       92        34          1               14                0                 0             5                  3                2                    0                  3                  8             0             0             0             0             0         1              3         11         0
       1954 Graduation        Married 62820.0        0         0  11-05-2013       51       398         61              265              138                61            53                  1                3                    4                  6                  1             0             0             0             0             0         0              3         11         0
       1954 Graduation        Married 62820.0        0         0  11-05-2013       51       398         61              265              138                61            53                  1                3                    4                  6                  1             0             0             0             0             0         0              3         11         0
       1954 Graduation       Together 39898.0        0         1  12-02-2013       20        69          8               26               12                 7            12                  2                3                    0                  4                  7             0             0             0             0             0         0              3         11         0
       1954 Graduation       Together 39898.0        0         1  12-02-2013       20        69          8               26               12                 7            12                  2                3                    0                  4                  7             0             0             0             0             0         0              3         11         0
       1954        PhD        Married 65324.0        0         1  11-01-2014        0       384          0              102               21                32             5                  3                6                    2                  9                  4             0             0             0             0             0         0              3         11         0
       1954        PhD        Married 65324.0        0         1  11-01-2014        0       384          0              102               21                32             5                  3                6                    2                  9                  4             0             0             0             0             0         0              3         11         0
       1955   2n Cycle        Married 72635.0        0         0  03-06-2013       54       390         22              323              104                35           107                  1                6                    8                  6                  3             0             0             0             1             0         0              3         11         0
